id	filename	md5	size	state
276e4e03-9697-483f-8071-86547b38bf1e	276e4e03-9697-483f-8071-86547b38bf1e/dfa159b5-d83e-4c42-9b57-74bc5a4fe579.wxs.aliquot_ensemble_masked.maf.gz	5aa86910d8f6db1f8d70c4e4d4c0cb21	27201	validated
2a80d58c-19a6-4517-a7fc-8ef725a1e678	2a80d58c-19a6-4517-a7fc-8ef725a1e678/86b3ffc4-f0cf-4925-a55b-4fa78f970624.wxs.aliquot_ensemble_masked.maf.gz	f81f4ae285eda21700725105f892820e	17079	validated
2ab91c1c-4c3c-4845-9288-b75bb953d32c	2ab91c1c-4c3c-4845-9288-b75bb953d32c/cd0a18ea-acc3-4228-848e-2f8ca4c3257a.wxs.aliquot_ensemble_masked.maf.gz	a08fdb39914fdb0952d829f074bbdfa1	19558	validated
2c51a6a4-2873-4716-ab23-248386ce2cec	2c51a6a4-2873-4716-ab23-248386ce2cec/462ff53d-8a58-4bc8-8a4b-c36f79f2c361.wxs.aliquot_ensemble_masked.maf.gz	849ed35f6181ed9b1a4f0261a8e28588	46652	validated
2c8820f2-13a6-4652-883f-7749988bdcca	2c8820f2-13a6-4652-883f-7749988bdcca/b12f072c-7654-4141-9acb-e541c9537833.wxs.aliquot_ensemble_masked.maf.gz	fef669070a4fa28090dafa5a48f7c22c	6656	validated
2fc837e8-d7ba-439c-9dae-e4b40a109de5	2fc837e8-d7ba-439c-9dae-e4b40a109de5/e217f90c-d3c4-4f5d-b956-0b9e527affb8.wxs.aliquot_ensemble_masked.maf.gz	30c202253c4cc4d8113c2dcc0778351c	2909	validated
2ffbea22-37a4-476e-8035-8f16b5ab8a71	2ffbea22-37a4-476e-8035-8f16b5ab8a71/ce44b8e9-4513-4278-ab83-1006cd745520.wxs.aliquot_ensemble_masked.maf.gz	cce02a654855df38963e6f6ccbcb6bfa	21947	validated
3260f16d-8574-4e16-ac2e-c52d8dcbbcbe	3260f16d-8574-4e16-ac2e-c52d8dcbbcbe/38476d06-b206-44d1-a915-765aab0c8b2b.wxs.aliquot_ensemble_masked.maf.gz	af93370df3411287dc36e153c90058bd	18053	validated
33f4ded7-d42b-4456-a4ca-b82cd69224ef	33f4ded7-d42b-4456-a4ca-b82cd69224ef/97610630-b122-4640-b596-04741288c42d.wxs.aliquot_ensemble_masked.maf.gz	d377fe6ab8bea4e5245787b872af1f59	1141	validated
34b5383e-9a45-4374-ab12-f6ab749676dd	34b5383e-9a45-4374-ab12-f6ab749676dd/f1fec4e3-631a-4149-adf9-b9077c9715c4.wxs.aliquot_ensemble_masked.maf.gz	389315f0bdc5fa935289405cd357975a	28389	validated
